date,Country,continent,age,total_cases,deaths,recoveries
10-07-2020,Bangladesh,Asia,60.0,20000.0,100.0,18000.0
27-07-2022,Australia,Oceania,45.0,20000.0,60000.0,1800000.0
11-11-2020,Thailand,Asia,55.0,500000.0,5000.0,18000.0
31-08-2020,Canada,North America,35.0,1500000.0,100.0,18000.0
14-11-2020,Mexico,North America,55.0,20000.0,20000.0,900000.0
10-05-2022,India,Asia,25.0,2000000.0,5000.0,1200000.0
09-12-2020,Bangladesh,Asia,65.0,2000000.0,20000.0,1800000.0
05-12-2020,Egypt,Africa,65.0,1500000.0,5000.0,1200000.0
16-12-2020,India,Asia,45.0,1000000.0,90000.0,900000.0
05-08-2022,Canada,North America,55.0,20000.0,20000.0,1800000.0
31-08-2020,UK,Europe,55.0,1000000.0,90000.0,900000.0
07-11-2020,USA,North America,25.0,1500000.0,5000.0,900000.0
30-05-2021,Germany,Europe,55.0,1000000.0,100.0,900000.0
08-07-2021,Sri Lanka,Asia,45.0,2000000.0,90000.0,900000.0
02-02-2021,Nigeria,Africa,55.0,1000000.0,5000.0,18000.0
15-09-2020,South Africa,Africa,60.0,1500000.0,60000.0,1800000.0
23-06-2020,Vietnam,Asia,50.0,1500000.0,90000.0,18000.0
17-02-2021,Egypt,Africa,55.0,1000000.0,100.0,1800000.0
20-11-2020,Iran,Asia,35.0,20000.0,20000.0,900000.0
15-07-2022,Japan,Asia,55.0,500000.0,20000.0,1200000.0
11-06-2021,Italy,Europe,65.0,1000000.0,90000.0,450000.0
28-11-2020,Turkey,Europe,65.0,1000000.0,60000.0,900000.0
26-02-2020,Pakistan,Asia,45.0,20000.0,20000.0,450000.0
28-01-2021,Russia,Europe,55.0,1000000.0,90000.0,1800000.0
30-04-2022,UK,Europe,60.0,20000.0,60000.0,1800000.0
16-03-2022,Nigeria,Africa,55.0,1000000.0,90000.0,18000.0
01-12-2021,Canada,North America,25.0,1500000.0,60000.0,1200000.0
14-03-2021,France,Europe,65.0,1500000.0,5000.0,900000.0
06-10-2021,UK,Europe,35.0,1500000.0,90000.0,1800000.0
01-08-2022,Canada,North America,60.0,500000.0,20000.0,900000.0
20-01-2021,South Africa,Africa,55.0,20000.0,20000.0,1200000.0
20-05-2022,Canada,North America,60.0,1500000.0,60000.0,18000.0
02-05-2021,South Korea,Asia,55.0,1500000.0,5000.0,900000.0
17-07-2021,China,Asia,55.0,1000000.0,5000.0,900000.0
21-08-2021,South Korea,Asia,60.0,500000.0,90000.0,900000.0
05-05-2021,South Africa,Africa,65.0,1000000.0,20000.0,900000.0
08-12-2020,Italy,Europe,55.0,1000000.0,100.0,1800000.0
10-05-2022,Canada,North America,55.0,2000000.0,20000.0,18000.0
04-04-2021,Thailand,Asia,45.0,20000.0,20000.0,18000.0
10-06-2020,Russia,Europe,55.0,1000000.0,20000.0,900000.0
02-09-2021,Nepal,Asia,55.0,1000000.0,90000.0,1800000.0
09-11-2020,China,Asia,45.0,1000000.0,90000.0,450000.0
16-08-2020,Japan,Asia,55.0,1000000.0,20000.0,18000.0
27-05-2020,Germany,Europe,45.0,2000000.0,90000.0,900000.0
27-07-2021,China,Asia,25.0,1500000.0,20000.0,900000.0
25-05-2022,India,Asia,55.0,1000000.0,20000.0,18000.0
22-05-2022,Spain,Europe,45.0,1000000.0,20000.0,1200000.0
16-02-2022,Nepal,Asia,55.0,20000.0,100.0,1200000.0
09-02-2021,USA,North America,35.0,20000.0,5000.0,900000.0
10-09-2020,Iran,Asia,45.0,500000.0,20000.0,18000.0
16-11-2020,Pakistan,Asia,55.0,20000.0,5000.0,1200000.0
09-03-2022,Spain,Europe,25.0,1000000.0,60000.0,900000.0
14-11-2021,Japan,Asia,45.0,2000000.0,100.0,1800000.0
09-12-2021,Australia,Oceania,55.0,1500000.0,20000.0,900000.0
23-12-2020,USA,North America,35.0,1000000.0,20000.0,450000.0
22-10-2020,USA,North America,45.0,1000000.0,20000.0,900000.0
14-11-2020,Vietnam,Asia,60.0,1000000.0,5000.0,900000.0
29-06-2021,UK,Europe,45.0,1000000.0,20000.0,1800000.0
23-08-2021,Thailand,Asia,55.0,1000000.0,100.0,900000.0
25-02-2020,Canada,North America,65.0,20000.0,20000.0,18000.0
25-07-2022,Indonesia,Asia,55.0,1000000.0,100.0,450000.0
06-10-2021,Brazil,South America,45.0,500000.0,100.0,900000.0
30-12-2020,Turkey,Europe,45.0,1500000.0,5000.0,900000.0
02-05-2020,Australia,Oceania,45.0,1500000.0,5000.0,1200000.0
31-07-2020,Brazil,South America,35.0,2000000.0,20000.0,1200000.0
04-02-2022,South Africa,Africa,60.0,1000000.0,20000.0,450000.0
10-09-2020,Mexico,North America,60.0,20000.0,60000.0,450000.0
04-12-2021,Bangladesh,Asia,55.0,1500000.0,100.0,900000.0
02-11-2021,Australia,Oceania,25.0,20000.0,60000.0,900000.0
09-06-2021,China,Asia,35.0,1000000.0,90000.0,900000.0
16-04-2021,India,Asia,35.0,2000000.0,20000.0,900000.0
22-01-2022,Canada,North America,35.0,1000000.0,60000.0,1800000.0
16-07-2021,Australia,Oceania,55.0,2000000.0,60000.0,900000.0
27-07-2022,Thailand,Asia,55.0,1000000.0,20000.0,1800000.0
25-10-2021,Spain,Europe,60.0,1000000.0,60000.0,1800000.0
02-10-2021,Japan,Asia,65.0,1500000.0,100.0,450000.0
03-05-2020,Vietnam,Asia,65.0,1000000.0,60000.0,450000.0
15-10-2020,France,Europe,35.0,1000000.0,100.0,900000.0
02-12-2020,France,Europe,55.0,1000000.0,20000.0,1200000.0
04-04-2021,Australia,Oceania,65.0,500000.0,100.0,1200000.0
14-04-2022,Malaysia,Asia,45.0,1500000.0,100.0,1800000.0
10-02-2020,Japan,Asia,35.0,500000.0,5000.0,900000.0
09-06-2021,USA,North America,55.0,20000.0,60000.0,900000.0
16-07-2020,Vietnam,Asia,60.0,500000.0,20000.0,1200000.0
04-09-2022,France,Europe,55.0,1000000.0,20000.0,1200000.0
10-10-2020,Iran,Asia,35.0,2000000.0,60000.0,450000.0
01-10-2021,France,Europe,35.0,1000000.0,60000.0,1800000.0
09-06-2022,Mexico,North America,25.0,1000000.0,20000.0,900000.0
19-05-2020,Thailand,Asia,35.0,1000000.0,60000.0,900000.0
31-03-2021,Malaysia,Asia,55.0,2000000.0,20000.0,900000.0
24-01-2022,Nepal,Asia,55.0,1000000.0,5000.0,900000.0
22-09-2020,Egypt,Africa,35.0,1000000.0,100.0,1200000.0
26-12-2020,South Korea,Asia,65.0,20000.0,90000.0,1800000.0
21-03-2021,Japan,Asia,35.0,1000000.0,60000.0,450000.0
31-08-2020,Turkey,Europe,65.0,500000.0,20000.0,900000.0
11-07-2020,Germany,Europe,55.0,500000.0,20000.0,1800000.0
16-09-2022,Iran,Asia,25.0,2000000.0,100.0,900000.0
31-07-2021,Sri Lanka,Asia,65.0,500000.0,60000.0,1200000.0
10-07-2020,South Africa,Africa,60.0,1000000.0,90000.0,18000.0
29-07-2020,Nigeria,Africa,65.0,20000.0,20000.0,1800000.0
18-01-2021,Spain,Europe,60.0,500000.0,100.0,1800000.0
25-02-2021,Pakistan,Asia,65.0,1000000.0,20000.0,18000.0
16-02-2022,Turkey,Europe,55.0,500000.0,5000.0,450000.0
18-06-2020,Russia,Europe,45.0,20000.0,90000.0,18000.0
16-05-2021,Japan,Asia,45.0,1500000.0,20000.0,1800000.0
11-09-2020,Saudi Arabia,Asia,55.0,500000.0,20000.0,18000.0
07-01-2020,Germany,Europe,60.0,2000000.0,100.0,900000.0
27-05-2020,Russia,Europe,55.0,1000000.0,20000.0,18000.0
04-09-2020,Brazil,South America,45.0,1000000.0,60000.0,1800000.0
16-06-2020,Egypt,Africa,65.0,500000.0,5000.0,18000.0
11-07-2020,Egypt,Africa,55.0,500000.0,20000.0,1200000.0
