Date,Region,Product,Category,Units Sold,Discount,Revenue,Cost,Sales
2019-01-01,North,Monitor,Office,434.0,26.11049699149925,110879.0,230147.0,-119268.0
2019-01-02,East,Smartwatch,Electronics,312.0,10.415179869440701,95629.0,211638.0,-116009.0
2019-01-03,West,Printer,Electronics,654.0,39.08691342991553,120266.0,89257.0,31009.0
2019-01-04,South,Camera,Electronics,178.0,64.21442310547242,193362.0,49070.0,144292.0
2019-01-05,North,Laptop,Accessories,416.0,,279843.0,6166.0,273677.0
2019-01-06,South,Printer,Office,101.0,59.14652640908229,236241.0,139193.0,97048.0
2019-01-07,East,Tablet,Home,687.0,0.016861216250653177,256249.0,146749.0,109500.0
2019-01-08,South,Printer,Electronics,158.0,11.796025042142894,71912.0,188633.0,-116721.0
2019-01-09,North,Headphones,Accessories,699.0,2.129647775785993,150327.0,228849.0,-78522.0
2019-01-10,North,Headphones,Home,246.0,22.970302636054804,84183.0,213981.0,-129798.0
2019-01-11,East,Headphones,Electronics,308.0,,,88409.0,-23127.0
2019-01-12,North,Camera,Home,289.0,6.786648651929142,63249.0,38664.0,24585.0
2019-01-13,East,Printer,Accessories,31.0,42.448684372066026,43176.0,130926.0,-87750.0
2019-01-14,East,Smartwatch,Home,406.0,31.604715738361094,13163.0,246890.0,-233727.0
2019-01-15,North,Smartwatch,Electronics,364.0,65.69277486560688,128844.0,2293.0,126551.0
2019-01-16,Central,Printer,Home,64.0,8.576339977596568,236352.0,154515.0,81837.0
2019-01-17,East,Smartwatch,Home,206.0,14.841949535156026,83860.0,237333.0,-153473.0
2019-01-18,North,Phone,Electronics,766.0,2.067937802804529,157215.0,50212.0,107003.0
2019-01-19,Central,Camera,Accessories,585.0,30.375467474196164,272064.0,216203.0,55861.0
2019-01-20,East,Laptop,Accessories,374.0,19.448302969525802,87911.0,76276.0,11635.0
2019-01-21,Central,Laptop,Home,,60.893415372322465,52252.0,13559.0,38693.0
2019-01-22,West,Laptop,Office,156.0,,57756.0,66231.0,-8475.0
2019-01-23,West,Laptop,Home,106.0,42.98635165829912,216325.0,109277.0,107048.0
2019-01-24,Central,Laptop,Office,611.0,37.23374878169117,290369.0,171116.0,119253.0
2019-01-25,East,Smartwatch,Home,450.0,6.42952360604407,204245.0,22747.0,181498.0
2019-01-26,North,Monitor,Accessories,,31.151307860774867,90333.0,238528.0,-148195.0
2019-01-27,South,Headphones,Home,129.0,69.96536327959616,,205581.0,-29284.0
2019-01-28,North,Camera,Home,774.0,58.466050359221036,277951.0,212941.0,65010.0
2019-01-29,South,Monitor,Office,240.0,62.54213379169811,11402.0,162201.0,-150799.0
2019-01-30,South,Camera,Accessories,166.0,57.625845147254964,,1037.0,8484.0
2019-01-31,East,Phone,Office,558.0,7.212918540168788,199237.0,105294.0,93943.0
2019-02-01,Central,Printer,Home,792.0,15.921377784535974,255885.0,98847.0,157038.0
2019-02-02,North,Tablet,Electronics,357.0,0.2185155949486739,13382.0,104742.0,-91360.0
2019-02-03,Central,Headphones,Home,72.0,21.2457087414678,20065.0,49503.0,-29438.0
2019-02-04,West,Phone,Home,177.0,7.60251816425448,19425.0,29207.0,-9782.0
2019-02-05,East,Monitor,Office,641.0,33.09553417111081,280255.0,241232.0,39023.0
2019-02-06,East,Tablet,Electronics,686.0,,176871.0,34241.0,142630.0
2019-02-07,West,Printer,Electronics,563.0,61.21537065266539,58257.0,132130.0,-73873.0
2019-02-08,North,Phone,Office,265.0,52.445201556362875,197249.0,200244.0,-2995.0
2019-02-09,West,Printer,Accessories,221.0,65.70099170449537,13816.0,97171.0,-83355.0
2019-02-10,North,Printer,Electronics,128.0,3.7728803275652156,7175.0,146906.0,-139731.0
2019-02-11,South,Smartwatch,Electronics,166.0,0.8525884791579008,278485.0,213185.0,65300.0
2019-02-12,East,Camera,Office,205.0,,161726.0,118302.0,43424.0
2019-02-13,North,Tablet,Accessories,,20.254668715557237,64696.0,159262.0,-94566.0
2019-02-14,Central,Camera,Accessories,406.0,17.74507112740412,193961.0,73832.0,120129.0
2019-02-15,Central,Printer,Home,466.0,23.162096138565598,223216.0,22383.0,200833.0
2019-02-16,East,Smartwatch,Home,279.0,18.88572405246549,297338.0,243046.0,54292.0
2019-02-17,West,Phone,Office,210.0,35.80054844111111,89358.0,125291.0,-35933.0
2019-02-18,West,Printer,Accessories,44.0,30.810391305689276,,156732.0,20916.0
2019-02-19,North,Monitor,Office,277.0,35.869998596365946,155799.0,240101.0,-84302.0
2019-02-20,West,Printer,Home,704.0,47.089952805030535,39579.0,3674.0,35905.0
2019-02-21,East,Camera,Office,97.0,27.09913562798038,101554.0,115100.0,-13546.0
2019-02-22,North,Tablet,Office,46.0,17.591538099950974,152627.0,110369.0,42258.0
2019-02-23,South,Phone,Electronics,469.0,11.634037576612183,54777.0,23820.0,30957.0
2019-02-24,West,Camera,Electronics,383.0,24.463188367283788,45751.0,217112.0,-171361.0
2019-02-25,West,Printer,Electronics,111.0,51.92645326723204,205671.0,157738.0,47933.0
2019-02-26,North,Monitor,Home,332.0,52.96934370780287,,44794.0,68956.0
2019-02-27,Central,Headphones,Office,69.0,46.68337706789472,79180.0,134148.0,-54968.0
2019-02-28,West,Smartwatch,Electronics,369.0,16.38197227148122,243986.0,196926.0,47060.0
2019-03-01,East,Monitor,Electronics,488.0,41.166037209828836,209750.0,129544.0,80206.0
2019-03-02,West,Printer,Electronics,651.0,,298788.0,184414.0,114374.0
2019-03-03,South,Monitor,Home,28.0,33.898633867680786,38521.0,38555.0,-34.0
2019-03-04,West,Smartwatch,Home,544.0,38.498529046870495,16564.0,187280.0,-170716.0
2019-03-05,Central,Headphones,Office,66.0,34.42534428365676,110155.0,33406.0,76749.0
2019-03-06,West,Monitor,Office,495.0,39.58194562518757,192150.0,193644.0,-1494.0
2019-03-07,North,Headphones,Office,277.0,50.085416823479015,278346.0,41262.0,237084.0
2019-03-08,West,Printer,Electronics,233.0,7.6739736082407815,139757.0,92320.0,47437.0
2019-03-09,Central,Headphones,Accessories,24.0,52.47380265043166,95197.0,218733.0,-123536.0
2019-03-10,North,Camera,Home,7.0,,47637.0,155288.0,-107651.0
2019-03-11,East,Camera,Electronics,425.0,4.663959888726229,154438.0,200189.0,-45751.0
2019-03-12,North,Headphones,Electronics,734.0,68.32557803550273,29276.0,213208.0,-183932.0
2019-03-13,South,Phone,Office,311.0,66.98942382093091,160647.0,31284.0,129363.0
2019-03-14,North,Tablet,Office,436.0,4.230558145839484,215496.0,152243.0,63253.0
2019-03-15,East,Phone,Electronics,140.0,,134526.0,91627.0,42899.0
2019-03-16,West,Headphones,Home,519.0,13.037145680984231,159093.0,146405.0,12688.0
2019-03-17,North,Tablet,Home,197.0,33.974142799409265,6532.0,162607.0,-156075.0
2019-03-18,North,Camera,Electronics,589.0,58.112407009971115,107666.0,90023.0,17643.0
2019-03-19,North,Tablet,Accessories,419.0,66.54282423200232,186877.0,208012.0,-21135.0
2019-03-20,North,Headphones,Accessories,122.0,44.39768574160762,86551.0,241542.0,-154991.0
2019-03-21,East,Camera,Home,670.0,24.773396704827192,173828.0,165772.0,8056.0
2019-03-22,Central,Tablet,Office,213.0,42.232789595121886,76880.0,215655.0,-138775.0
2019-03-23,Central,Tablet,Accessories,38.0,21.840091427591524,,42516.0,69218.0
2019-03-24,North,Phone,Accessories,653.0,63.68765485824422,210714.0,16577.0,194137.0
2019-03-25,East,Tablet,Office,,60.92803241740859,118123.0,221906.0,-103783.0
2019-03-26,East,Printer,Accessories,124.0,39.07622251957627,,16015.0,195245.0
2019-03-27,North,Headphones,Electronics,631.0,22.73592407662524,92897.0,92104.0,793.0
2019-03-28,South,Laptop,Accessories,529.0,20.537277290808483,171919.0,115412.0,56507.0
2019-03-29,North,Laptop,Office,585.0,2.3392596293541623,109599.0,92740.0,16859.0
2019-03-30,South,Laptop,Electronics,773.0,57.10745957177067,285786.0,229356.0,56430.0
2019-03-31,North,Headphones,Accessories,93.0,31.526824912730557,253751.0,223875.0,29876.0
2019-04-01,South,Laptop,Home,516.0,22.75930498801851,41509.0,153308.0,-111799.0
2019-04-02,South,Phone,Electronics,,32.97772484984277,151486.0,230223.0,-78737.0
2019-04-03,North,Headphones,Electronics,,57.31165933182564,133633.0,67640.0,65993.0
2019-04-04,South,Printer,Home,744.0,,,84190.0,37991.0
2019-04-05,West,Camera,Home,696.0,60.03591917692791,67059.0,130516.0,-63457.0
2019-04-06,Central,Printer,Accessories,526.0,62.82561845758478,46091.0,177776.0,-131685.0
2019-04-07,East,Headphones,Accessories,288.0,66.26955405237217,209196.0,174441.0,34755.0
2019-04-08,South,Headphones,Office,381.0,27.824159469583943,5903.0,135718.0,-129815.0
2019-04-09,South,Tablet,Office,642.0,15.199828282637032,246024.0,88007.0,158017.0
2019-04-10,East,Tablet,Electronics,138.0,26.154857292668893,194637.0,157978.0,36659.0
2019-04-11,South,Tablet,Home,671.0,23.303846736198228,,218715.0,-39920.0
2019-04-12,East,Smartwatch,Home,252.0,12.330773875200205,40572.0,48728.0,-8156.0
2019-04-13,North,Smartwatch,Office,656.0,42.50866690710416,284754.0,15878.0,268876.0
2019-04-14,West,Monitor,Electronics,322.0,33.36369123560402,103993.0,248814.0,-144821.0
2019-04-15,West,Smartwatch,Electronics,440.0,60.599069462680255,,129925.0,-27385.0
2019-04-16,Central,Phone,Office,180.0,2.247670633744078,58533.0,10145.0,48388.0
2019-04-17,South,Headphones,Office,690.0,45.07075492885885,160136.0,89578.0,70558.0
2019-04-18,Central,Printer,Office,590.0,53.406421495809276,,19226.0,244671.0
2019-04-19,North,Headphones,Accessories,355.0,53.16405984318149,185653.0,3802.0,181851.0
2019-04-20,West,Tablet,Electronics,147.0,62.025177696686754,125388.0,25119.0,100269.0
2019-04-21,North,Headphones,Electronics,402.0,51.03236199806459,295846.0,64560.0,231286.0
2019-04-22,North,Camera,Electronics,628.0,64.94670431533874,128482.0,58353.0,70129.0
2019-04-23,South,Smartwatch,Office,722.0,23.285961987462404,275775.0,246741.0,29034.0
2019-04-24,North,Headphones,Office,647.0,35.224659172608014,259936.0,224793.0,35143.0
2019-04-25,West,Printer,Office,373.0,0.9855764298023473,92388.0,124001.0,-31613.0
2019-04-26,Central,Laptop,Office,505.0,0.4870311112303849,,194198.0,-64400.0
2019-04-27,West,Camera,Home,,16.808863431606394,,72641.0,2402.0
2019-04-28,South,Camera,Office,374.0,7.056503799735968,165053.0,52712.0,112341.0
2019-04-29,West,Headphones,Accessories,,18.214795755502752,237843.0,184261.0,53582.0
2019-04-30,East,Monitor,Home,386.0,12.393030616987819,264859.0,189856.0,75003.0
2019-05-01,Central,Tablet,Home,90.0,1.9964017387053767,134014.0,131085.0,2929.0
2019-05-02,East,Phone,Office,791.0,63.65129024842346,118076.0,69285.0,48791.0
2019-05-03,East,Phone,Electronics,743.0,0.5756191972224067,104007.0,116278.0,-12271.0
2019-05-04,South,Laptop,Office,464.0,51.52575010359598,202270.0,248128.0,-45858.0
2019-05-05,North,Phone,Electronics,329.0,10.650352084366157,292084.0,175021.0,117063.0
2019-05-06,East,Phone,Office,526.0,63.856073539972,76792.0,166201.0,-89409.0
2019-05-07,West,Tablet,Office,493.0,,13367.0,25512.0,-12145.0
2019-05-08,North,Smartwatch,Electronics,401.0,45.773080245848014,239673.0,103077.0,136596.0
2019-05-09,West,Tablet,Electronics,359.0,47.05639048604236,275717.0,211103.0,64614.0
2019-05-10,West,Monitor,Electronics,292.0,0.37373993787819804,20582.0,195626.0,-175044.0
2019-05-11,North,Printer,Electronics,463.0,68.94100962795214,141450.0,3064.0,138386.0
2019-05-12,North,Laptop,Accessories,,61.44828225030701,149572.0,96614.0,52958.0
2019-05-13,West,Phone,Electronics,540.0,62.657435801106445,26881.0,183639.0,-156758.0
2019-05-14,South,Monitor,Office,295.0,46.147117593561035,187614.0,118639.0,68975.0
2019-05-15,Central,Laptop,Office,172.0,24.135085005817558,70285.0,31011.0,39274.0
2019-05-16,Central,Camera,Accessories,625.0,62.55540543633366,64547.0,72152.0,-7605.0
2019-05-17,South,Phone,Electronics,432.0,20.406184970583464,198223.0,205583.0,-7360.0
2019-05-18,North,Phone,Office,706.0,39.3898080339542,143294.0,11960.0,131334.0
2019-05-19,West,Tablet,Accessories,494.0,6.981168064071768,12933.0,225600.0,-212667.0
2019-05-20,Central,Headphones,Office,359.0,64.53689410929252,245839.0,122789.0,123050.0
2019-05-21,West,Laptop,Accessories,200.0,9.853932043984933,103706.0,59920.0,43786.0
2019-05-22,South,Phone,Accessories,549.0,15.74277640112851,179682.0,22387.0,157295.0
2019-05-23,West,Smartwatch,Home,721.0,39.06939106897505,9544.0,147396.0,-137852.0
2019-05-24,South,Laptop,Home,698.0,53.48651001490871,207682.0,64960.0,142722.0
2019-05-25,North,Printer,Electronics,663.0,43.35459141554092,,123994.0,63578.0
2019-05-26,South,Smartwatch,Home,784.0,16.24937389601093,222054.0,203851.0,18203.0
2019-05-27,South,Monitor,Accessories,15.0,0.0660129769243234,,33628.0,231083.0
2019-05-28,Central,Smartwatch,Office,586.0,53.00054062152074,105834.0,122269.0,-16435.0
2019-05-29,West,Monitor,Office,260.0,68.96451281377657,139405.0,207168.0,-67763.0
2019-05-30,Central,Headphones,Electronics,400.0,,45002.0,48452.0,-3450.0
2019-05-31,East,Phone,Home,735.0,32.21446327096307,260549.0,42098.0,218451.0
2019-06-01,South,Smartwatch,Electronics,413.0,63.26370829793746,223760.0,202531.0,21229.0
2019-06-02,East,Printer,Accessories,,28.689337118284502,135011.0,171307.0,-36296.0
2019-06-03,Central,Tablet,Home,263.0,36.74538589704273,173922.0,87861.0,86061.0
2019-06-04,West,Phone,Electronics,7.0,33.39908371769783,126548.0,28949.0,97599.0
2019-06-05,Central,Laptop,Office,,31.333671086586747,36786.0,154893.0,-118107.0
2019-06-06,West,Camera,Office,160.0,54.2633538505734,,203684.0,7102.0
2019-06-07,West,Monitor,Electronics,667.0,36.87382350886444,72261.0,154104.0,-81843.0
2019-06-08,North,Laptop,Electronics,180.0,22.170198541765124,285621.0,74537.0,211084.0
2019-06-09,South,Headphones,Electronics,711.0,18.071071736093483,182605.0,147375.0,35230.0
2019-06-10,Central,Monitor,Accessories,476.0,2.642312187720337,275640.0,117003.0,158637.0
2019-06-11,West,Tablet,Accessories,623.0,40.82366133181322,125522.0,214065.0,-88543.0
2019-06-12,Central,Monitor,Office,428.0,16.097299078072396,212080.0,239051.0,-26971.0
2019-06-13,Central,Camera,Accessories,138.0,10.369374541146817,287868.0,144375.0,143493.0
2019-06-14,West,Smartwatch,Accessories,792.0,,297560.0,51701.0,245859.0
2019-06-15,East,Printer,Home,384.0,47.68464804750842,40575.0,51511.0,-10936.0
2019-06-16,South,Smartwatch,Accessories,671.0,52.65084245803662,81614.0,81664.0,-50.0
2019-06-17,South,Phone,Home,281.0,35.2503827437014,98566.0,150352.0,-51786.0
2019-06-18,North,Camera,Accessories,240.0,62.58382236427206,257061.0,40427.0,216634.0
2019-06-19,North,Printer,Office,756.0,65.54399273787595,209180.0,98180.0,111000.0
